time (s),Amplitude - Plot 0
0.591,19.8913
0.592,19.9914
0.593,18.754
0.594,17.5166
0.595,17.159
0.596,16.036
0.597,15.6069
0.598,15.2707
0.599,14.8201
0.6,13.175
0.601,12.145
0.602,11.1294
0.603,10.6931
0.604,9.90629
0.605,8.71897
0.606,8.14676
0.607,7.32422
0.608,6.27279
0.609,5.4431
0.61,4.65631
0.611,3.74794
0.612,2.73228
0.613,1.73092
0.614,0.836849
0.615,0.00715256
0.616,-0.479221
0.617,-0.958443
0.618,-1.43051
0.619,-1.64509
0.62,-1.93119
0.621,-2.46048
0.622,-2.86102
0.623,-3.59774
0.624,-4.52757
0.625,-5.66483
0.626,-7.03812
0.627,-8.18253
0.628,-9.16958
0.629,-10.6144
0.63,-11.5299
0.631,-12.2738
0.632,-13.8545
0.633,-14.9202
0.634,-16.2077
0.635,-16.0003
0.636,-17.0445
0.637,-18.0888
0.638,-18.611
0.639,-20.1344
0.64,-21.5507
0.641,-21.0643
0.642,-21.6722
0.643,-23.0598
0.644,-23.4962
0.645,-24.7264
0.646,-24.4403
0.647,-24.8408
0.648,-25.9066
0.649,-26.3429
0.65,-27.6518
0.651,-26.9079
0.652,-27.38
0.653,-27.7019
0.654,-29.49
0.655,-28.6603
0.656,-28.6388
0.657,-28.8677
0.658,-30.7059
0.659,-29.2611
0.66,-29.6474
0.661,-29.8977
0.662,-31.0421
0.663,-29.6187
0.664,-30.005
0.665,-30.0694
0.666,-30.9277
0.667,-29.3541
0.668,-29.4185
0.669,-29.6474
0.67,-30.6058
0.671,-28.5959
0.672,-28.6746
0.673,-28.739
0.674,-29.5043
0.675,-27.4944
0.676,-27.6661
0.677,-27.3013
0.678,-27.6661
0.679,-26.1497
0.68,-25.7564
0.681,-25.3916
0.682,-25.2342
0.683,-25.0554
0.684,-23.2673
0.685,-22.7451
0.686,-22.0585
0.687,-22.13
0.688,-21.8081
0.689,-19.7268
0.69,-18.8041
0.691,-18.3392
0.692,-17.2377
0.693,-17.1447
0.694,-16.3364
0.695,-14.9918
0.696,-13.5469
0.697,-12.8818
0.698,-11.9519
0.699,-11.2367
0.7,-10.0565
0.701,-9.09805
0.702,-8.45432
0.703,-7.35998
0.704,-6.12259
0.705,-5.29289
0.706,-4.15564
0.707,-3.04699
0.708,-1.80244
0.709,-0.786781
0.71,0.164509
0.711,0.636578
0.712,1.29461
0.713,1.73807
0.714,2.03848
0.715,2.81811
0.716,3.6335
0.717,4.64916
0.718,5.7435
0.719,7.02381
0.72,8.18253
0.721,9.09805
0.722,10.3855
0.723,11.8232
0.724,12.5885
0.725,13.7472
0.726,14.6484
0.727,16.5939
0.728,17.0517
0.729,17.8313
0.73,18.6896
0.731,19.4836
0.732,20.6637
0.733,22.3017
0.734,22.4805
0.735,22.409
0.736,23.7751
0.737,24.6334
0.738,26.0925
0.739,25.8493
0.74,25.6062
0.741,27.0724
0.742,27.3585
0.743,28.6603
0.744,27.9307
0.745,28.6245
0.746,28.7962
0.747,30.2267
0.748,29.2325
0.749,29.4614
0.75,29.9549
0.751,31.1351
0.752,29.4614
0.753,29.7475
0.754,30.2553
0.755,31.1637
